ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,eu_tour,unwto_oecd_tour,adr
7,0,56300,112,543527,810,8,1653816,50486039,NULL,BS Gastro s.r.o.,Slatvina,Slatvina 78,5361,31/07/2017,10/09/2016,FALSE,SUSR,12/10/2016 02:03,01/08/2017 19:18,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Slatvina,Slatvina,Spol. s r. o.,Limited liability comp.,Služby pohostinstiev,Beverage serving activ.,nezistený,unknown,Zahraničné,Foreign,0,0,partialy tourism industry,catering & food service industries,NULL
2,0,55200,101,525618,808,8,1008,10745572,1025853334,MVDr. Barnabáš Szakall POSLEDNÝ GROŠ,Dedinky,Dedinky 42,4973,09/09/2020,17/09/1992,FALSE,SUSR,17/05/2016 21:46,10/09/2020 02:00,FALSE,NULL,NULL,Košický kraj,Region of Košice,Rožňava,Rožňava,Dedinky,Dedinky,Živnostník,Entrepreneur,Turistické ubytovanie,Holliday accommodation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,primary tourism industry,tourism accommodation services,NULL
2,0,56109,101,526355,810,8,1285,10766421,1023670725,Petr Rusnak,Spišská Nová Ves,J.I.Bajzu 7,5201,12/03/2018,01/05/1991,FALSE,SUSR,17/05/2016 21:46,16/03/2018 02:46,FALSE,2016-08-01,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Ost.účelové stravovanie,Other purpose consume,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,catering & food service industries,NULL
2,0,49320,105,526355,810,8,1953550,33852791,NULL,Horymír Pacanovský,Spišská Nová Ves,Hutnícka 3419/5,5201,08/01/2021,01/12/2020,FALSE,SUSR,09/01/2021 07:31,09/01/2021 07:31,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,543616,810,8,106964,41690885,1026777202,Rastislav Dzurinda,Spišský Hrušov,Spišský Hrušov 196,5363,12/03/2018,01/04/2011,FALSE,SUSR,17/05/2016 21:57,16/03/2018 08:38,FALSE,2015-02-03,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišský Hrušov,Spišský Hrušov,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,526509,801,8,1933871,53316363,NULL,Branislav Klein - BRAKL,Gelnica,Tehelná 1319/4,5601,30/10/2020,17/09/2020,FALSE,SUSR,31/10/2020 06:56,31/10/2020 06:56,FALSE,NULL,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526355,810,8,749884,44678401,1074743021,Branislav Dunčko,Spišská Nová Ves,Gaštanová 1742/2,5201,31/07/2017,09/03/2009,FALSE,SUSR,17/05/2016 23:01,01/08/2017 13:45,FALSE,2011-03-31,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,2,49320,105,526355,810,8,1889717,52816761,NULL,Ingrid Štiffelová - ACK TAXI,Spišská Nová Ves,Lipová 2028/11,5201,03/07/2020,15/01/2020,FALSE,SUSR,04/07/2020 06:32,04/07/2020 06:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,Spišská Nová Ves,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,101,526509,801,8,881679,45686858,1044662652,Gabriel Lisoň,Gelnica,Strojárenská 1150/6,5601,31/07/2017,01/06/2012,FALSE,SUSR,17/05/2016 23:08,01/08/2017 14:42,FALSE,2013-04-03,NULL,Košický kraj,Region of Košice,Gelnica,Gelnica,Gelnica,Gelnica,Živnostník,Entrepreneur,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
2,0,49320,105,560154,810,8,1755255,51393298,NULL,Alexander Štrauch,Smižany,Štúrova 388/10,5311,07/12/2020,02/11/2020,FALSE,SUSR,10/05/2018 02:35,08/12/2020 02:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Spišská Nová Ves,Spišská Nová Ves,Smižany,Smižany,FO-slob.povolanie,Freelance occupation,Taxislužba,Taxi operation,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,partialy tourism industry,individual transportation industries,NULL
