"y","ksk","gl","snv","rv","slr"
2010,"618308","4198","125092","46387","50585"
2011,"620403","4563","141170","43736","48299"
2012,"596457","3677","138391","39804","43481"
2013,"649947","3747","137366","46470","50217"
2014,"537533","2631","85173","33317","35948"
2015,"597759","3981","71514","31330","35311"
2016,"726401","6286","132608","44742","51028"
2017,"762490","6502","145641","47338","53840"
2018,"830079","9192","176638","45457","54649"
2019,"1055845","1777","192585","51372","53149"
2020,"545839","4797","113237","36996","41793"
