cat,yer,nuts13,name,val,k_growth_coef,k_growth_coef_pct,ksk_val,ksk_share,share_ksk_k_growth_coef,pct_share_ksk_k_growth_coef
beds,2001,n/a,Okresy OOCR SLRSP,3974,NULL,NULL,39924,9.95,NULL,NULL
beds,2003,n/a,Okresy OOCR SLRSP,4183,0.805662558,-19.43,36093,11.59,0.784167794,-21.58
beds,2002,n/a,Okresy OOCR SLRSP,5192,1.306492199,30.65,35119,14.78,1.485427136,48.54
beds,2004,n/a,Okresy OOCR SLRSP,6073,1.451828831,45.18,36583,16.6,1.432269198,43.23
beds,2005,n/a,Okresy OOCR SLRSP,6177,1.017124979,1.71,35492,17.4,1.048192771,4.82
nights,2015,n/a,Okresy OOCR SLRSP,106825,0.88196927,-11.8,597759,17.87,0.793164669,-20.68
beds,2014,n/a,Okresy OOCR SLRSP,4936,0.943425076,-5.66,25707,19.2,0.959040959,-4.1
beds,2015,n/a,Okresy OOCR SLRSP,5063,1.025729335,2.57,25989,19.48,1.014583333,1.46
beds,2016,n/a,Okresy OOCR SLRSP,4516,0.891961288,-10.8,23188,19.48,1,0
beds,2017,n/a,Okresy OOCR SLRSP,4306,0.953498671,-4.65,21893,19.67,1.009753593,0.98
beds,2013,n/a,Okresy OOCR SLRSP,5232,0.90880667,-9.12,26139,20.02,0.930729893,-6.93
beds,2019,n/a,Okresy OOCR SLRSP,4750,1.050420168,5.04,22835,20.8,0.992840095,-0.72
beds,2018,n/a,Okresy OOCR SLRSP,4522,1.050162564,5.02,21586,20.95,1.065073716,6.51
beds,2012,n/a,Okresy OOCR SLRSP,5757,0.963514644,-3.65,26764,21.51,0.953035002,-4.7
nights,2014,n/a,Okresy OOCR SLRSP,121121,0.64569284,-35.43,537533,22.53,0.780665281,-21.93
beds,2011,n/a,Okresy OOCR SLRSP,5975,0.969967532,-3,26476,22.57,0.968669528,-3.13
beds,2010,n/a,Okresy OOCR SLRSP,6160,0.93773786,-6.23,26443,23.3,0.942175495,-5.78
nights,2019,n/a,Okresy OOCR SLRSP,249830,1.080173118,8.02,1055845,23.66,0.849246231,-15.08
nights,2021,n/a,Okresy OOCR SLRSP,106811,0.688374881,-31.16,441058,24.22,0.851916989,-14.81
beds,2009,n/a,Okresy OOCR SLRSP,6569,0.928743108,-7.13,26559,24.73,0.937808115,-6.22
nights,2016,n/a,Okresy OOCR SLRSP,183636,1.719035806,71.9,726401,25.28,1.414661444,41.47
nights,2017,n/a,Okresy OOCR SLRSP,199481,1.086284824,8.63,762490,26.16,1.034810127,3.48
