cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Domáci návštevníci (Počet),20170101,3501,NULL,NULL
Domáci návštevníci (Počet),20170201,4720,1.348186232505,34.82
Domáci návštevníci (Počet),20170301,3504,0.742372881355932,-25.76
Domáci návštevníci (Počet),20170401,3574,1.01997716894977,2.00
Domáci návštevníci (Počet),20170501,5482,1.53385562395076,53.39
Domáci návštevníci (Počet),20170601,5155,0.94035023713973,-5.96
Domáci návštevníci (Počet),20170701,6610,1.28225024248303,28.23
Domáci návštevníci (Počet),20170801,6948,1.05113464447806,5.11
Domáci návštevníci (Počet),20170901,5103,0.734455958549223,-26.55
Domáci návštevníci (Počet),20171001,4168,0.816774446404076,-18.32
Domáci návštevníci (Počet),20171101,3509,0.841890595009597,-15.81
Domáci návštevníci (Počet),20171201,3132,0.892561983471074,-10.74
Domáci návštevníci (Počet),20180101,2828,0.9029374201788,-9.71
Domáci návštevníci (Počet),20180201,4345,1.53642149929279,53.64
Domáci návštevníci (Počet),20180301,3901,0.897813578826237,-10.22
Domáci návštevníci (Počet),20180401,3560,0.912586516277877,-8.74
Domáci návštevníci (Počet),20180501,5719,1.6064606741573,60.65
Domáci návštevníci (Počet),20180601,6401,1.11925161741563,11.93
Domáci návštevníci (Počet),20180701,9436,1.47414466489611,47.41
Domáci návštevníci (Počet),20180801,9890,1.04811360746079,4.81
Domáci návštevníci (Počet),20180901,6044,0.611122345803842,-38.89
Domáci návštevníci (Počet),20181001,4795,0.793348775645268,-20.67
Domáci návštevníci (Počet),20181101,3955,0.824817518248175,-17.52
Domáci návštevníci (Počet),20181201,3806,0.962326169405815,-3.77
Domáci návštevníci (Počet),20190101,3179,0.835260115606936,-16.47
Domáci návštevníci (Počet),20190201,3891,1.22396980182447,22.40
Domáci návštevníci (Počet),20190301,2787,0.716268311488049,-28.37
Domáci návštevníci (Počet),20190401,3125,1.12127735916756,12.13
Domáci návštevníci (Počet),20190501,6127,1.96064,96.06
Domáci návštevníci (Počet),20190601,5617,0.916761873673902,-8.32
