var,y,dim,val_district_ann_agg,val_district_foreign_total,share_district_foreign,k_growth_coef,k_growth_coef_pct
Počet návštevníkov spolu,2017,Liechtenstein,1,25616,0,NULL,NULL
Počet návštevníkov spolu,2017,Estonia,35,25616,0.14,35,3400.00
Počet návštevníkov spolu,2017,Albania,4,25616,0.02,0.114285714285714,-88.57
Počet návštevníkov spolu,2017,Other African States,2,25616,0.01,0.5,-50.00
Počet návštevníkov spolu,2017,Ukraine,377,25616,1.47,188.5,18750.00
Počet návštevníkov spolu,2017,Slovenia,72,25616,0.28,0.190981432360743,-80.90
Počet návštevníkov spolu,2017,Other American countries,10,25616,0.04,0.138888888888889,-86.11
Počet návštevníkov spolu,2017,Singapore,4,25616,0.02,0.4,-60.00
Počet návštevníkov spolu,2017,Australia,24,25616,0.09,6,500.00
Počet návštevníkov spolu,2017,Canada,42,25616,0.16,1.75,75.00
Počet návštevníkov spolu,2017,Luxembourg,1,25616,0,0.0238095238095238,-97.62
Počet návštevníkov spolu,2017,Denmark,57,25616,0.22,57,5600.00
Počet návštevníkov spolu,2017,Argentina,4,25616,0.02,0.0701754385964912,-92.98
Počet návštevníkov spolu,2017,Belarus,63,25616,0.25,15.75,1475.00
Počet návštevníkov spolu,2017,Serbia,83,25616,0.32,1.31746031746032,31.75
Počet návštevníkov spolu,2017,Iceland,2,25616,0.01,0.0240963855421687,-97.59
Počet návštevníkov spolu,2017,Saudi Arabia,1,25616,0,0.5,-50.00
Počet návštevníkov spolu,2017,China,54,25616,0.21,54,5300.00
Počet návštevníkov spolu,2017,United Kingdom,281,25616,1.1,5.2037037037037,420.37
Počet návštevníkov spolu,2017,Other Asian States,11,25616,0.04,0.0391459074733096,-96.09
Počet návštevníkov spolu,2017,Other European countries,79,25616,0.31,7.18181818181818,618.18
Počet návštevníkov spolu,2017,United States,196,25616,0.77,2.48101265822785,148.10
Počet návštevníkov spolu,2017,Greece,4,25616,0.02,0.0204081632653061,-97.96
Počet návštevníkov spolu,2017,Russia,144,25616,0.56,36,3500.00
Počet návštevníkov spolu,2017,Czechia,8048,25616,31.42,55.8888888888889,5488.89
Počet návštevníkov spolu,2017,Croatia,37,25616,0.14,0.00459741550695825,-99.54
Počet návštevníkov spolu,2017,Lithuania,223,25616,0.87,6.02702702702703,502.70
Počet návštevníkov spolu,2017,Poland,4440,25616,17.33,19.9103139013453,1891.03
Počet návštevníkov spolu,2017,Turkey,38,25616,0.15,0.00855855855855856,-99.14
Počet návštevníkov spolu,2017,Malaysia,2,25616,0.01,0.0526315789473684,-94.74
Počet návštevníkov spolu,2017,Romania,304,25616,1.19,152,15100.00
Počet návštevníkov spolu,2017,Malta,3,25616,0.01,0.00986842105263158,-99.01
Počet návštevníkov spolu,2017,Cyprus,2,25616,0.01,0.666666666666667,-33.33
Počet návštevníkov spolu,2017,Austria,810,25616,3.16,405,40400.00
Počet návštevníkov spolu,2017,Portugal,30,25616,0.12,0.037037037037037,-96.30
Počet návštevníkov spolu,2017,Thailand,3,25616,0.01,0.1,-90.00
Počet návštevníkov spolu,2017,Belgium,299,25616,1.17,99.6666666666667,9866.67
Počet návštevníkov spolu,2017,India,2,25616,0.01,0.00668896321070234,-99.33
Počet návštevníkov spolu,2017,Mexico,9,25616,0.04,4.5,350.00
Počet návštevníkov spolu,2017,Germany,1775,25616,6.93,197.222222222222,19622.22
Počet návštevníkov spolu,2017,Moldova,1,25616,0,0.000563380281690141,-99.94
Počet návštevníkov spolu,2017,Israel,1048,25616,4.09,1048,104700.00
Počet návštevníkov spolu,2017,Taiwan,3,25616,0.01,0.00286259541984733,-99.71
Počet návštevníkov spolu,2017,Montenegro,3,25616,0.01,1,0.00
Počet návštevníkov spolu,2017,Hungary,4811,25616,18.78,1603.66666666667,160266.67
Počet návštevníkov spolu,2017,Switzerland,107,25616,0.42,0.0222406983995011,-97.78
Počet návštevníkov spolu,2017,Bosnia and Herzegovina,9,25616,0.04,0.0841121495327103,-91.59
Počet návštevníkov spolu,2017,Ireland,23,25616,0.09,2.55555555555556,155.56
Počet návštevníkov spolu,2017,France,233,25616,0.91,10.1304347826087,913.04
Počet návštevníkov spolu,2017,Netherlands,388,25616,1.51,1.66523605150215,66.52
Počet návštevníkov spolu,2017,Latvia,48,25616,0.19,0.123711340206186,-87.63
Počet návštevníkov spolu,2017,Sweden,245,25616,0.96,5.10416666666667,410.42
Počet návštevníkov spolu,2017,New Zealand,9,25616,0.04,0.036734693877551,-96.33
Počet návštevníkov spolu,2017,Japan,13,25616,0.05,1.44444444444444,44.44
Počet návštevníkov spolu,2017,Brazil,251,25616,0.98,19.3076923076923,1830.77
Počet návštevníkov spolu,2017,Italy,450,25616,1.76,1.79282868525896,79.28
Počet návštevníkov spolu,2017,Finland,60,25616,0.23,0.133333333333333,-86.67
Počet návštevníkov spolu,2017,Vietnam,2,25616,0.01,0.0333333333333333,-96.67
Počet návštevníkov spolu,2017,Spain,60,25616,0.23,30,2900.00
Počet návštevníkov spolu,2017,North Macedonia,4,25616,0.02,0.0666666666666667,-93.33
Počet návštevníkov spolu,2017,United Arab Emirates,1,25616,0,0.25,-75.00
Počet návštevníkov spolu,2017,South Korea,3,25616,0.01,3,200.00
Počet návštevníkov spolu,2017,Norway,35,25616,0.14,11.6666666666667,1066.67
Počet návštevníkov spolu,2017,Hong Kong,1,25616,0,0.0285714285714286,-97.14
Počet návštevníkov spolu,2017,Bulgaria,40,25616,0.16,40,3900.00
Počet návštevníkov spolu,2018,Netherlands,644,34008,1.89,16.1,1510.00
Počet návštevníkov spolu,2018,Japan,25,34008,0.07,0.0388198757763975,-96.12
Počet návštevníkov spolu,2018,India,17,34008,0.05,0.68,-32.00
Počet návštevníkov spolu,2018,Austria,705,34008,2.07,41.4705882352941,4047.06
Počet návštevníkov spolu,2018,Italy,572,34008,1.68,0.811347517730496,-18.87
Počet návštevníkov spolu,2018,Indonesia,3,34008,0.01,0.00524475524475525,-99.48
Počet návštevníkov spolu,2018,Israel,397,34008,1.17,132.333333333333,13133.33
Počet návštevníkov spolu,2018,Ireland,31,34008,0.09,0.0780856423173804,-92.19
Počet návštevníkov spolu,2018,Albania,39,34008,0.11,1.25806451612903,25.81
Počet návštevníkov spolu,2018,United Arab Emirates,11,34008,0.03,0.282051282051282,-71.79
Počet návštevníkov spolu,2018,Ukraine,502,34008,1.48,45.6363636363636,4463.64
Počet návštevníkov spolu,2018,Belarus,53,34008,0.16,0.105577689243028,-89.44
Počet návštevníkov spolu,2018,Turkey,37,34008,0.11,0.69811320754717,-30.19
Počet návštevníkov spolu,2018,Thailand,3,34008,0.01,0.0810810810810811,-91.89
Počet návštevníkov spolu,2018,Belgium,320,34008,0.94,106.666666666667,10566.67
Počet návštevníkov spolu,2018,Taiwan,10,34008,0.03,0.03125,-96.88
Počet návštevníkov spolu,2018,Switzerland,160,34008,0.47,16,1500.00
Počet návštevníkov spolu,2018,Bosnia and Herzegovina,8,34008,0.02,0.05,-95.00
Počet návštevníkov spolu,2018,Sweden,233,34008,0.69,29.125,2812.50
Počet návštevníkov spolu,2018,Spain,210,34008,0.62,0.901287553648069,-9.87
Počet návštevníkov spolu,2018,Brazil,287,34008,0.84,1.36666666666667,36.67
Počet návštevníkov spolu,2018,South Korea,4,34008,0.01,0.0139372822299652,-98.61
Počet návštevníkov spolu,2018,South Africa,7,34008,0.02,1.75,75.00
Počet návštevníkov spolu,2018,Bulgaria,39,34008,0.11,5.57142857142857,457.14
Počet návštevníkov spolu,2018,Slovenia,118,34008,0.35,3.02564102564103,202.56
Počet návštevníkov spolu,2018,Canada,55,34008,0.16,0.466101694915254,-53.39
Počet návštevníkov spolu,2018,Serbia,38,34008,0.11,0.690909090909091,-30.91
Počet návštevníkov spolu,2018,Saudi Arabia,3,34008,0.01,0.0789473684210526,-92.11
Počet návštevníkov spolu,2018,China,429,34008,1.26,143,14200.00
Počet návštevníkov spolu,2018,Russia,146,34008,0.43,0.34032634032634,-65.97
Počet návštevníkov spolu,2018,Croatia,48,34008,0.14,0.328767123287671,-67.12
Počet návštevníkov spolu,2018,United States,244,34008,0.72,5.08333333333333,408.33
Počet návštevníkov spolu,2018,Romania,143,34008,0.42,0.586065573770492,-41.39
Počet návštevníkov spolu,2018,Qatar,2,34008,0.01,0.013986013986014,-98.60
Počet návštevníkov spolu,2018,Portugal,34,34008,0.1,17,1600.00
Počet návštevníkov spolu,2018,Cyprus,2,34008,0.01,0.0588235294117647,-94.12
Počet návštevníkov spolu,2018,Poland,7520,34008,22.11,3760,375900.00
Počet návštevníkov spolu,2018,Czechia,10729,34008,31.55,1.42672872340426,42.67
Počet návštevníkov spolu,2018,Other European countries,35,34008,0.1,0.00326218659707335,-99.67
Počet návštevníkov spolu,2018,Other Asian States,11,34008,0.03,0.314285714285714,-68.57
Počet návštevníkov spolu,2018,Denmark,64,34008,0.19,5.81818181818182,481.82
Počet návštevníkov spolu,2018,Other American countries,12,34008,0.04,0.1875,-81.25
Počet návštevníkov spolu,2018,Other African States,1,34008,0,0.0833333333333333,-91.67
Počet návštevníkov spolu,2018,Dominican Republic,10,34008,0.03,10,900.00
Počet návštevníkov spolu,2018,Norway,25,34008,0.07,2.5,150.00
Počet návštevníkov spolu,2018,Estonia,50,34008,0.15,2,100.00
Počet návštevníkov spolu,2018,Australia,48,34008,0.14,0.96,-4.00
Počet návštevníkov spolu,2018,North Macedonia,1,34008,0,0.0208333333333333,-97.92
Počet návštevníkov spolu,2018,New Zealand,12,34008,0.04,12,1100.00
Počet návštevníkov spolu,2018,Finland,33,34008,0.1,2.75,175.00
Počet návštevníkov spolu,2018,Morocco,2,34008,0.01,0.0606060606060606,-93.94
Počet návštevníkov spolu,2018,France,437,34008,1.28,218.5,21750.00
Počet návštevníkov spolu,2018,Montenegro,3,34008,0.01,0.0068649885583524,-99.31
Počet návštevníkov spolu,2018,Moldova,1,34008,0,0.333333333333333,-66.67
Počet návštevníkov spolu,2018,Mexico,17,34008,0.05,17,1600.00
Počet návštevníkov spolu,2018,Germany,2742,34008,8.06,161.294117647059,16029.41
Počet návštevníkov spolu,2018,United Kingdom,329,34008,0.97,0.11998541210795,-88.00
Počet návštevníkov spolu,2018,Malta,5,34008,0.01,0.0151975683890578,-98.48
Počet návštevníkov spolu,2018,Malaysia,8,34008,0.02,1.6,60.00
Počet návštevníkov spolu,2018,Greece,12,34008,0.04,1.5,50.00
Počet návštevníkov spolu,2018,Luxembourg,5,34008,0.01,0.416666666666667,-58.33
Počet návštevníkov spolu,2018,Lithuania,356,34008,1.05,71.2,7020.00
Počet návštevníkov spolu,2018,Hungary,5719,34008,16.82,16.064606741573,1506.46
Počet návštevníkov spolu,2018,Latvia,25,34008,0.07,0.00437139360027977,-99.56
Počet návštevníkov spolu,2018,Kenya,1,34008,0,0.04,-96.00
Počet návštevníkov spolu,2018,Iceland,3,34008,0.01,3,200.00
Počet návštevníkov spolu,2019,Latvia,225,34457,0.65,75,7400.00
Počet návštevníkov spolu,2019,Bulgaria,57,34457,0.17,0.253333333333333,-74.67
Počet návštevníkov spolu,2019,Greece,17,34457,0.05,0.298245614035088,-70.18
Počet návštevníkov spolu,2019,Estonia,72,34457,0.21,4.23529411764706,323.53
Počet návštevníkov spolu,2019,Belarus,68,34457,0.2,0.944444444444444,-5.56
Počet návštevníkov spolu,2019,South Africa,8,34457,0.02,0.117647058823529,-88.24
Počet návštevníkov spolu,2019,North Macedonia,4,34457,0.01,0.5,-50.00
Počet návštevníkov spolu,2019,Luxembourg,15,34457,0.04,3.75,275.00
Počet návštevníkov spolu,2019,South Korea,38,34457,0.11,2.53333333333333,153.33
Počet návštevníkov spolu,2019,New Zealand,23,34457,0.07,0.605263157894737,-39.47
Počet návštevníkov spolu,2019,India,19,34457,0.06,0.826086956521739,-17.39
Počet návštevníkov spolu,2019,Brazil,272,34457,0.79,14.3157894736842,1331.58
Počet návštevníkov spolu,2019,Turkey,85,34457,0.25,0.3125,-68.75
Počet návštevníkov spolu,2019,Finland,92,34457,0.27,1.08235294117647,8.24
Počet návštevníkov spolu,2019,Australia,113,34457,0.33,1.22826086956522,22.83
Počet návštevníkov spolu,2019,Spain,208,34457,0.6,1.84070796460177,84.07
Počet návštevníkov spolu,2019,Netherlands,779,34457,2.26,3.74519230769231,274.52
Počet návštevníkov spolu,2019,Japan,23,34457,0.07,0.0295250320924262,-97.05
Počet návštevníkov spolu,2019,Sweden,213,34457,0.62,9.26086956521739,826.09
Počet návštevníkov spolu,2019,Lithuania,250,34457,0.73,1.17370892018779,17.37
Počet návštevníkov spolu,2019,Montenegro,2,34457,0.01,0.008,-99.20
Počet návštevníkov spolu,2019,Bosnia and Herzegovina,47,34457,0.14,23.5,2250.00
Počet návštevníkov spolu,2019,Ukraine,505,34457,1.47,10.7446808510638,974.47
Počet návštevníkov spolu,2019,France,362,34457,1.05,0.716831683168317,-28.32
Počet návštevníkov spolu,2019,United Kingdom,438,34457,1.27,1.20994475138122,20.99
Počet návštevníkov spolu,2019,Italy,456,34457,1.32,1.04109589041096,4.11
Počet návštevníkov spolu,2019,Switzerland,188,34457,0.55,0.412280701754386,-58.77
Počet návštevníkov spolu,2019,Moldova,3,34457,0.01,0.0159574468085106,-98.40
Počet návštevníkov spolu,2019,Ireland,74,34457,0.21,24.6666666666667,2366.67
Počet návštevníkov spolu,2019,Taiwan,4,34457,0.01,0.0540540540540541,-94.59
Počet návštevníkov spolu,2019,Mexico,25,34457,0.07,6.25,525.00
Počet návštevníkov spolu,2019,Georgia,2,34457,0.01,0.08,-92.00
Počet návštevníkov spolu,2019,Kazakhstan,2,34457,0.01,1,0.00
Počet návštevníkov spolu,2019,Vietnam,1,34457,0,0.5,-50.00
Počet návštevníkov spolu,2019,Hungary,6963,34457,20.21,6963,696200.00
Počet návštevníkov spolu,2019,Portugal,15,34457,0.04,0.002154243860405,-99.78
Počet návštevníkov spolu,2019,Germany,3837,34457,11.14,255.8,25480.00
Počet návštevníkov spolu,2019,Cyprus,4,34457,0.01,0.00104248110502997,-99.90
Počet návštevníkov spolu,2019,Poland,6776,34457,19.67,1694,169300.00
Počet návštevníkov spolu,2019,Austria,708,34457,2.05,0.104486422668241,-89.55
Počet návštevníkov spolu,2019,Croatia,54,34457,0.16,0.076271186440678,-92.37
Počet návštevníkov spolu,2019,Romania,218,34457,0.63,4.03703703703704,303.70
Počet návštevníkov spolu,2019,Belgium,523,34457,1.52,2.39908256880734,139.91
Počet návštevníkov spolu,2019,Czechia,9930,34457,28.82,18.9866156787763,1798.66
Počet návštevníkov spolu,2019,Russia,134,34457,0.39,0.0134944612286002,-98.65
Počet návštevníkov spolu,2019,Other European countries,9,34457,0.03,0.0671641791044776,-93.28
Počet návštevníkov spolu,2019,Indonesia,3,34457,0.01,0.333333333333333,-66.67
Počet návštevníkov spolu,2019,Argentina,1,34457,0,0.333333333333333,-66.67
Počet návštevníkov spolu,2019,Other Asian States,18,34457,0.05,18,1700.00
Počet návštevníkov spolu,2019,Thailand,8,34457,0.02,0.444444444444444,-55.56
Počet návštevníkov spolu,2019,China,262,34457,0.76,32.75,3175.00
Počet návštevníkov spolu,2019,Canada,62,34457,0.18,0.236641221374046,-76.34
Počet návštevníkov spolu,2019,Malaysia,1,34457,0,0.0161290322580645,-98.39
Počet návštevníkov spolu,2019,Denmark,122,34457,0.35,122,12100.00
Počet návštevníkov spolu,2019,Serbia,51,34457,0.15,0.418032786885246,-58.20
Počet návštevníkov spolu,2019,Other American countries,6,34457,0.02,0.117647058823529,-88.24
Počet návštevníkov spolu,2019,Israel,195,34457,0.57,32.5,3150.00
