cat,dd,val_districts_country,k_growth_coef,k_growth_coef_pct
Albania (Počet),20170101,,,
Albania (Počet),20170201,,,
Albania (Počet),20170301,,,
Albania (Počet),20170401,,,
Albania (Počet),20170501,,,
Albania (Počet),20170601,1,,
Albania (Počet),20170701,,,
Albania (Počet),20170801,,,
Albania (Počet),20170901,,,
Albania (Počet),20171001,1,,
Albania (Počet),20171101,1,1,0
Albania (Počet),20171201,1,1,0
Albania (Počet),20180101,2,2,100
Albania (Počet),20180201,1,0.5,-50
Albania (Počet),20180301,1,1,0
Albania (Počet),20180401,1,1,0
Albania (Počet),20180501,,,
Albania (Počet),20180601,,,
Albania (Počet),20180701,,,
Albania (Počet),20180801,16,,
Albania (Počet),20180901,18,1.125,12.5
Albania (Počet),20181001,,,
Albania (Počet),20181101,,,
Albania (Počet),20181201,,,
Albania (Počet),20190101,,,
Albania (Počet),20190201,,,
Albania (Počet),20190301,,,
Albania (Počet),20190401,,,
Albania (Počet),20190501,,,
Albania (Počet),20190601,,,
Albania (Počet),20190701,,,
Albania (Počet),20190801,36,,
Albania (Počet),20190901,,,
Albania (Počet),20191001,,,
Albania (Počet),20191101,,,
Albania (Počet),20191201,,,
Albania (Počet),20200101,,,
Albania (Počet),20200201,,,
Albania (Počet),20200301,,,
Albania (Počet),20200401,,,
Albania (Počet),20200501,,,
Albania (Počet),20200601,,,
Albania (Počet),20200701,,,
Albania (Počet),20200801,,,
Albania (Počet),20200901,,,
Albania (Počet),20201001,,,
Albania (Počet),20201101,,,
Albania (Počet),20201201,,,
Albania (Počet),20210101,,,
Albania (Počet),20210201,,,
Albania (Počet),20210301,,,
Albania (Počet),20210401,,,
Albania (Počet),20210501,,,
Albania (Počet),20210601,,,
Albania (Počet),20210701,,,
Albania (Počet),20210801,,,
Albania (Počet),20210901,,,
Albania (Počet),20211001,,,
Albania (Počet),20211101,,,
Albania (Počet),20211201,,,
Albania (Prenocovania),20170101,,,
Albania (Prenocovania),20170201,,,
Albania (Prenocovania),20170301,,,
Albania (Prenocovania),20170401,,,
Albania (Prenocovania),20170501,,,
Albania (Prenocovania),20170601,4,,
Albania (Prenocovania),20170701,,,
Albania (Prenocovania),20170801,,,
Albania (Prenocovania),20170901,,,
Albania (Prenocovania),20171001,28,,
Albania (Prenocovania),20171101,30,1.071428571,7.14
Albania (Prenocovania),20171201,31,1.033333333,3.33
Albania (Prenocovania),20180101,31,1,0
Albania (Prenocovania),20180201,28,0.903225806,-9.68
Albania (Prenocovania),20180301,30,1.071428571,7.14
Albania (Prenocovania),20180401,2,0.066666667,-93.33
Albania (Prenocovania),20180501,,,
Albania (Prenocovania),20180601,,,
Albania (Prenocovania),20180701,,,
Albania (Prenocovania),20180801,32,,
Albania (Prenocovania),20180901,45,1.40625,40.63
Albania (Prenocovania),20181001,,,
Albania (Prenocovania),20181101,,,
Albania (Prenocovania),20181201,,,
Albania (Prenocovania),20190101,,,
Albania (Prenocovania),20190201,,,
Albania (Prenocovania),20190301,,,
Albania (Prenocovania),20190401,,,
Albania (Prenocovania),20190501,,,
Albania (Prenocovania),20190601,,,
Albania (Prenocovania),20190701,,,
Albania (Prenocovania),20190801,99,,
Albania (Prenocovania),20190901,,,
Albania (Prenocovania),20191001,,,
Albania (Prenocovania),20191101,,,
Albania (Prenocovania),20191201,,,
Albania (Prenocovania),20200101,,,
Albania (Prenocovania),20200201,,,
Albania (Prenocovania),20200301,,,
Albania (Prenocovania),20200401,,,
Albania (Prenocovania),20200501,,,
Albania (Prenocovania),20200601,,,
Albania (Prenocovania),20200701,,,
Albania (Prenocovania),20200801,,,
Albania (Prenocovania),20200901,,,
Albania (Prenocovania),20201001,,,
Albania (Prenocovania),20201101,,,
Albania (Prenocovania),20201201,,,
Albania (Prenocovania),20210101,,,
Albania (Prenocovania),20210201,,,
Albania (Prenocovania),20210301,,,
Albania (Prenocovania),20210401,,,
Albania (Prenocovania),20210501,,,
Albania (Prenocovania),20210601,,,
Albania (Prenocovania),20210701,,,
Albania (Prenocovania),20210801,,,
Albania (Prenocovania),20210901,,,
Albania (Prenocovania),20211001,,,
Albania (Prenocovania),20211101,,,
Albania (Prenocovania),20211201,,,
Argentina (Počet),20170101,,,
Argentina (Počet),20170201,,,
Argentina (Počet),20170301,,,
Argentina (Počet),20170401,,,
Argentina (Počet),20170501,,,
Argentina (Počet),20170601,,,
Argentina (Počet),20170701,,,
Argentina (Počet),20170801,2,,
Argentina (Počet),20170901,,,
Argentina (Počet),20171001,2,,
Argentina (Počet),20171101,,,
Argentina (Počet),20171201,,,
Argentina (Počet),20180101,,,
Argentina (Počet),20180201,,,
Argentina (Počet),20180301,,,
Argentina (Počet),20180401,,,
Argentina (Počet),20180501,,,
Argentina (Počet),20180601,,,
Argentina (Počet),20180701,,,
Argentina (Počet),20180801,,,
Argentina (Počet),20180901,,,
Argentina (Počet),20181001,,,
Argentina (Počet),20181101,,,
Argentina (Počet),20181201,,,
Argentina (Počet),20190101,,,
Argentina (Počet),20190201,,,
Argentina (Počet),20190301,,,
Argentina (Počet),20190401,,,
Argentina (Počet),20190501,,,
Argentina (Počet),20190601,1,,
Argentina (Počet),20190701,,,
Argentina (Počet),20190801,,,
Argentina (Počet),20190901,,,
Argentina (Počet),20191001,,,
Argentina (Počet),20191101,,,
Argentina (Počet),20191201,,,
Argentina (Počet),20200101,,,
Argentina (Počet),20200201,,,
Argentina (Počet),20200301,,,
Argentina (Počet),20200401,,,
Argentina (Počet),20200501,,,
Argentina (Počet),20200601,,,
Argentina (Počet),20200701,,,
Argentina (Počet),20200801,,,
Argentina (Počet),20200901,,,
Argentina (Počet),20201001,,,
Argentina (Počet),20201101,,,
Argentina (Počet),20201201,,,
Argentina (Počet),20210101,,,
Argentina (Počet),20210201,,,
Argentina (Počet),20210301,,,
Argentina (Počet),20210401,,,
Argentina (Počet),20210501,,,
Argentina (Počet),20210601,,,
Argentina (Počet),20210701,,,
Argentina (Počet),20210801,,,
Argentina (Počet),20210901,,,
Argentina (Počet),20211001,,,
Argentina (Počet),20211101,,,
Argentina (Počet),20211201,,,
Argentina (Prenocovania),20170101,,,
Argentina (Prenocovania),20170201,,,
Argentina (Prenocovania),20170301,,,
Argentina (Prenocovania),20170401,,,
Argentina (Prenocovania),20170501,,,
Argentina (Prenocovania),20170601,,,
Argentina (Prenocovania),20170701,,,
Argentina (Prenocovania),20170801,6,,
Argentina (Prenocovania),20170901,,,
Argentina (Prenocovania),20171001,3,,
Argentina (Prenocovania),20171101,,,
Argentina (Prenocovania),20171201,,,
Argentina (Prenocovania),20180101,,,
Argentina (Prenocovania),20180201,,,
Argentina (Prenocovania),20180301,,,
Argentina (Prenocovania),20180401,,,
Argentina (Prenocovania),20180501,,,
Argentina (Prenocovania),20180601,,,
Argentina (Prenocovania),20180701,,,
Argentina (Prenocovania),20180801,,,
Argentina (Prenocovania),20180901,,,
Argentina (Prenocovania),20181001,,,
Argentina (Prenocovania),20181101,,,
Argentina (Prenocovania),20181201,,,
Argentina (Prenocovania),20190101,,,
Argentina (Prenocovania),20190201,,,
Argentina (Prenocovania),20190301,,,
Argentina (Prenocovania),20190401,,,
Argentina (Prenocovania),20190501,,,
Argentina (Prenocovania),20190601,1,,
Argentina (Prenocovania),20190701,,,
Argentina (Prenocovania),20190801,,,
Argentina (Prenocovania),20190901,,,
Argentina (Prenocovania),20191001,,,
Argentina (Prenocovania),20191101,,,
Argentina (Prenocovania),20191201,,,
Argentina (Prenocovania),20200101,,,
Argentina (Prenocovania),20200201,,,
Argentina (Prenocovania),20200301,,,
Argentina (Prenocovania),20200401,,,
Argentina (Prenocovania),20200501,,,
Argentina (Prenocovania),20200601,,,
Argentina (Prenocovania),20200701,,,
Argentina (Prenocovania),20200801,,,
Argentina (Prenocovania),20200901,,,
Argentina (Prenocovania),20201001,,,
Argentina (Prenocovania),20201101,,,
Argentina (Prenocovania),20201201,,,
Argentina (Prenocovania),20210101,,,
Argentina (Prenocovania),20210201,,,
Argentina (Prenocovania),20210301,,,
Argentina (Prenocovania),20210401,,,
Argentina (Prenocovania),20210501,,,
Argentina (Prenocovania),20210601,,,
Argentina (Prenocovania),20210701,,,
Argentina (Prenocovania),20210801,,,
Argentina (Prenocovania),20210901,,,
Argentina (Prenocovania),20211001,,,
Argentina (Prenocovania),20211101,,,
Argentina (Prenocovania),20211201,,,
Australia (Počet),20170101,,,
Australia (Počet),20170201,1,,
Australia (Počet),20170301,1,1,0
Australia (Počet),20170401,,,
Australia (Počet),20170501,2,,
Australia (Počet),20170601,2,1,0
Australia (Počet),20170701,3,1.5,50
Australia (Počet),20170801,7,2.333333333,133.33
Australia (Počet),20170901,5,0.714285714,-28.57
Australia (Počet),20171001,1,0.2,-80
Australia (Počet),20171101,1,1,0
Australia (Počet),20171201,1,1,0
Australia (Počet),20180101,,,
Australia (Počet),20180201,,,
Australia (Počet),20180301,1,,
Australia (Počet),20180401,2,2,100
Australia (Počet),20180501,5,2.5,150
Australia (Počet),20180601,3,0.6,-40
Australia (Počet),20180701,4,1.333333333,33.33
Australia (Počet),20180801,23,5.75,475
Australia (Počet),20180901,6,0.260869565,-73.91
Australia (Počet),20181001,4,0.666666667,-33.33
Australia (Počet),20181101,,,
Australia (Počet),20181201,,,
Australia (Počet),20190101,,,
Australia (Počet),20190201,,,
Australia (Počet),20190301,,,
Australia (Počet),20190401,8,,
Australia (Počet),20190501,12,1.5,50
Australia (Počet),20190601,5,0.416666667,-58.33
Australia (Počet),20190701,45,9,800
Australia (Počet),20190801,12,0.266666667,-73.33
Australia (Počet),20190901,12,1,0
Australia (Počet),20191001,11,0.916666667,-8.33
Australia (Počet),20191101,8,0.727272727,-27.27
Australia (Počet),20191201,,,
Australia (Počet),20200101,,,
Australia (Počet),20200201,,,
Australia (Počet),20200301,,,
Australia (Počet),20200401,,,
Australia (Počet),20200501,,,
Australia (Počet),20200601,,,
Australia (Počet),20200701,,,
Australia (Počet),20200801,,,
Australia (Počet),20200901,,,
Australia (Počet),20201001,,,
Australia (Počet),20201101,,,
Australia (Počet),20201201,,,
Australia (Počet),20210101,,,
Australia (Počet),20210201,,,
Australia (Počet),20210301,,,
Australia (Počet),20210401,,,
Australia (Počet),20210501,,,
Australia (Počet),20210601,,,
Australia (Počet),20210701,,,
Australia (Počet),20210801,,,
Australia (Počet),20210901,,,
Australia (Počet),20211001,,,
Australia (Počet),20211101,,,
Australia (Počet),20211201,,,
Australia (Prenocovania),20170101,,,
Australia (Prenocovania),20170201,2,,
Australia (Prenocovania),20170301,2,1,0
Australia (Prenocovania),20170401,,,
Australia (Prenocovania),20170501,2,,
Australia (Prenocovania),20170601,5,2.5,150
Australia (Prenocovania),20170701,6,1.2,20
Australia (Prenocovania),20170801,19,3.166666667,216.67
Australia (Prenocovania),20170901,10,0.526315789,-47.37
Australia (Prenocovania),20171001,3,0.3,-70
Australia (Prenocovania),20171101,2,0.666666667,-33.33
Australia (Prenocovania),20171201,1,0.5,-50
Australia (Prenocovania),20180101,,,
Australia (Prenocovania),20180201,,,
Australia (Prenocovania),20180301,1,,
Australia (Prenocovania),20180401,6,6,500
Australia (Prenocovania),20180501,5,0.833333333,-16.67
Australia (Prenocovania),20180601,4,0.8,-20
Australia (Prenocovania),20180701,7,1.75,75
Australia (Prenocovania),20180801,46,6.571428571,557.14
Australia (Prenocovania),20180901,9,0.195652174,-80.43
Australia (Prenocovania),20181001,4,0.444444444,-55.56
Australia (Prenocovania),20181101,,,
Australia (Prenocovania),20181201,,,
Australia (Prenocovania),20190101,,,
Australia (Prenocovania),20190201,,,
Australia (Prenocovania),20190301,,,
Australia (Prenocovania),20190401,13,,
Australia (Prenocovania),20190501,20,1.538461538,53.85
Australia (Prenocovania),20190601,7,0.35,-65
Australia (Prenocovania),20190701,88,12.57142857,1157.14
Australia (Prenocovania),20190801,22,0.25,-75
Australia (Prenocovania),20190901,14,0.636363636,-36.36
Australia (Prenocovania),20191001,16,1.142857143,14.29
Australia (Prenocovania),20191101,20,1.25,25
Australia (Prenocovania),20191201,,,
Australia (Prenocovania),20200101,,,
Australia (Prenocovania),20200201,,,
Australia (Prenocovania),20200301,,,
Australia (Prenocovania),20200401,,,
Australia (Prenocovania),20200501,,,
Australia (Prenocovania),20200601,,,
Australia (Prenocovania),20200701,,,
Australia (Prenocovania),20200801,,,
Australia (Prenocovania),20200901,,,
Australia (Prenocovania),20201001,,,
Australia (Prenocovania),20201101,,,
Australia (Prenocovania),20201201,,,
Australia (Prenocovania),20210101,,,
Australia (Prenocovania),20210201,,,
Australia (Prenocovania),20210301,,,
Australia (Prenocovania),20210401,,,
Australia (Prenocovania),20210501,,,
Australia (Prenocovania),20210601,,,
Australia (Prenocovania),20210701,,,
Australia (Prenocovania),20210801,,,
Australia (Prenocovania),20210901,,,
Australia (Prenocovania),20211001,,,
Australia (Prenocovania),20211101,,,
Australia (Prenocovania),20211201,,,
Austria (Počet),20170101,34,,
Austria (Počet),20170201,33,0.970588235,-2.94
Austria (Počet),20170301,58,1.757575758,75.76
Austria (Počet),20170401,33,0.568965517,-43.1
Austria (Počet),20170501,116,3.515151515,251.52
Austria (Počet),20170601,144,1.24137931,24.14
Austria (Počet),20170701,90,0.625,-37.5
Austria (Počet),20170801,103,1.144444444,14.44
Austria (Počet),20170901,85,0.825242718,-17.48
Austria (Počet),20171001,37,0.435294118,-56.47
