country,y,val_district_ann_agg,k_growth_coef,k_growth_coef_pct,index,users,new_users,sessions,bounce_rate,page_session,avg_session_dur,users_visitors_ratio
Albania,2017,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albania,2018,39,9.75,875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Albania,2019,36,0.923076923,-7.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Argentina,2017,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Argentina,2019,1,0.25,-75,49,31,31,31,1,1,0,0
Australia,2017,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Australia,2018,48,2,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Australia,2019,113,2.354166667,135.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Austria,2017,810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Austria,2018,705,0.87037037,-12.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Austria,2019,708,1.004255319,0.43,25,92,87,99,0.797979798,1.949494949,84.22222222,8
Austria,2020,267,0.377118644,-62.29,20,144,143,172,0.761627907,1.697674419,60.61627907,2
Austria,2021,116,0.434456929,-56.55,23,115,111,133,0.751879699,1.804511278,78.31578947,1
Belarus,2017,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belarus,2018,53,0.841269841,-15.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belarus,2019,68,1.283018868,28.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belarus,2020,3,0.044117647,-95.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belarus,2021,6,2,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,2017,299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,2018,320,1.070234114,7.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Belgium,2019,523,1.634375,63.44,41,41,39,51,0.68627451,2.235294118,169.6470588,13
Belgium,2020,75,0.143403442,-85.66,58,22,22,26,0.730769231,2.461538462,62.46153846,3
Belgium,2021,55,0.733333333,-26.67,63,21,19,24,0.708333333,1.916666667,206.9166667,3
Bosnia and Herzegovina,2017,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bosnia and Herzegovina,2018,8,0.888888889,-11.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bosnia and Herzegovina,2019,47,5.875,487.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bosnia and Herzegovina,2021,2,0.042553191,-95.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brazil,2017,251,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brazil,2018,287,1.143426295,14.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
