itms_id,nazov_vyzvy,op_nazov,projekt_id,akronym,nazov,popis_projektu,suma_zazmluvnena,cislo_zmluvy,ekosystem_stav,datum_zaciatku_realizacie,datum_konca_realizacie,dlzka_celkova_projektu,prijimatel_nazov,zameranie_projektu,sk_nuts,muns,main_aim,partial_aim,zona
233,4. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O POSKYTNUTIE NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU zameraná na monitorovanie environmentálnych záťaží,Kohézny fond,53,ZMEZ-1,Zabezpečenie monitorovania environmentálnych záťaží Slovenska - 1. čast,"<div><div><div><div>Hlavn&yacute;m cieľom geologickej &uacute;lohy je zabezpečenie monitorovania vybran&yacute;ch environment&aacute;lnych z&aacute;ťaž&iacute; na Slovensku. Geologick&aacute; &uacute;loha napĺňa programov&eacute; ciele vl&aacute;dy SR, ktor&eacute; s&uacute; definovan&eacute; v dokumente &Scaron;t&aacute;tny program san&aacute;cie environment&aacute;lnych z&aacute;ťaž&iacute; 2016-2021 a nadv&auml;zuje na v&yacute;sledky &uacute;loh MŽP SR, ktor&eacute; boli na Slovensku rie&scaron;en&eacute; v rokoch 2012-2015 v r&aacute;mci OP ŽP:</div><div>&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; monitorovanie environment&aacute;lnych z&aacute;ťaž&iacute; na vybran&yacute;ch lokalit&aacute;ch Slovenskej republiky,</div><div>&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; prieskum environment&aacute;lnych z&aacute;ťaž&iacute; na vybran&yacute;ch lokalit&aacute;ch Slovenskej republiky,</div><div>&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; san&aacute;cia environment&aacute;lnych z&aacute;ťaž&iacute; na vybran&yacute;ch lokalit&aacute;ch Slovenskej republiky,&nbsp;</div><div>&bull;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; pravdepodobn&eacute; environment&aacute;lne z&aacute;ťaže &ndash; prieskum na vybran&yacute;ch lokalit&aacute;ch SR.</div><div>Cieľ geologickej &uacute;lohy bude dosiahnut&yacute; realiz&aacute;ciou r&ocirc;znych druhov geologick&yacute;ch pr&aacute;c. P&ocirc;jde predov&scaron;etk&yacute;m o pr&iacute;pravn&eacute; pr&aacute;ce a n&aacute;vrh programu monitorovania; odbery vzoriek, ter&eacute;nne merania a laborat&oacute;rne pr&aacute;ce; &uacute;čelov&eacute; dobudovanie monitorovacej siete (na vybran&yacute;ch lokalit&aacute;ch); aktualiz&aacute;ciu situačn&yacute;ch modelov jednotliv&yacute;ch lokal&iacute;t na z&aacute;klade nov&yacute;ch v&yacute;sledkov; priebežn&eacute; vyhodnocovanie a z&aacute;verečn&eacute; vyhodnotenie v&yacute;sledkov monitorovania. Geologick&eacute; pr&aacute;ce bud&uacute; realizovan&eacute; v s&uacute;lade s ustanoveniami z&aacute;kona č. 569/2007 o geologick&yacute;ch pr&aacute;cach v&nbsp;znen&iacute; neskor&scaron;&iacute;ch predpisov ako aj vyhl&aacute;&scaron;ky MŽP SR č. 51/ 2008 Z.z., ktorou sa vykon&aacute;va geologick&yacute; z&aacute;kon v&nbsp;znen&iacute; neskor&scaron;&iacute;ch predpisov.</div><div>Uveden&eacute; činnosti s&uacute; v s&uacute;lade so &scaron;tandardn&yacute;mi postupmi uplatňovan&yacute;mi v krajin&aacute;ch E&Uacute; a v s&uacute;lade s R&aacute;mcovou smernicou o vod&aacute;ch, resp. s Dc&eacute;rskou smernicou o ochrane podzemn&yacute;ch v&ocirc;d, ktor&eacute; predstavuj&uacute; z&aacute;kladn&yacute; pr&aacute;vny r&aacute;mec pre realiz&aacute;ciu predkladan&eacute;ho projektu geologickej &uacute;lohy.</div><div>Merateľn&eacute; ukazovatele, ktor&eacute; s&uacute; predmetom navrhovanej činnosti, predstavuj&uacute;: plocha monitorovan&yacute;ch environment&aacute;lnych z&aacute;ťaž&iacute; (205,1ha), počet monitorovan&yacute;ch environment&aacute;lnych z&aacute;ťaž&iacute; (83 lokal&iacute;t situovan&yacute;ch vo v&scaron;etk&yacute;ch krajoch Slovenska).</div><div>&nbsp;</div></div></div></div>",3970279.59,OPKZP-PO1-SC142-2015-4/01,vrealizacii,01/09/2016 00:00,01/03/2023 00:00,79,Štátny geologický ústav Dionýza Štúra,Dopytovo-orientovaný projekt,"{SK042A543331,SK042A543268,SK0428525634}","{Markušovce,Krompachy,Dobšiná}",krajinotvorba,monitoring a eliminácia environmentálnych záťaží,Územie OOCR aj nárazníková zóna
397,3. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O POSKYTNUTIE NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU zameraná na prieskum environmentálnych záťaží,Kohézny fond,150,,Geologický prieskum vybraných pravdepodobných environmentálnych záťaží,"<div><div style=margin-left:21.3pt;"">Predmetom z&aacute;kazky je vypracovanie projektu geologickej &uacute;lohy a realiz&aacute;cia geologickej &uacute;lohy zameranej na podrobn&yacute; geologick&yacute; prieskum životn&eacute;ho prostredia. Cieľom geologickej &uacute;lohy je zabezpečenie podrobn&eacute;ho prieskumu pravdepodobn&yacute;ch environment&aacute;lnych z&aacute;ťaž&iacute; na vybran&yacute;ch 53&nbsp; lokalit&aacute;ch, ktor&eacute; na z&aacute;klade predbežn&eacute;ho hodnotenia rizika predstavuj&uacute; riziko pre ľudsk&eacute; zdravie a životn&eacute; prostredie v jednotliv&yacute;ch krajoch Slovenskej republiky. &Uacute;čelom geologickej &uacute;lohy&nbsp; je&nbsp; z&iacute;skanie detailn&yacute;ch podkladov o stave zložiek životn&eacute;ho prostredia a podkladov pre san&aacute;ciu t&yacute;ch environment&aacute;lnych z&aacute;ťaž&iacute;, kde bude potvrden&eacute; riziko.</div></div>""",9127293.62,OPKZP-PO1SC142-2015-3/01,vrealizacii,01/11/2016 00:00,01/12/2021 00:00,62,Ministerstvo životného prostredia Slovenskej republiky,Dopytovo-orientovaný projekt,"{SK0421543497,SK042A526568,SK042A526355}","{Prakovce,Hincovce,Spišská Nová Ves""}""",krajinotvorba,monitoring a eliminácia environmentálnych záťaží,Územie OOCR aj nárazníková zóna
524,6. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na zníženie energetickej náročnosti verejných budov,Európsky fond regionálneho rozvoja,381,ZEN BSŠ SNV,Zníženie energetickej náročnosti budovy Spojenej školy v Spišskej Novej Vsi,"<div><span style=line-height:20.8px"">Realiz&aacute;ciou navhrnut&yacute;ch opatren&iacute; zv&yacute;&scaron;iť energetick&uacute; efekt&iacute;vnosť budovy Spojenej &scaron;koly a&nbsp;tak aj &uacute;činnosť energetick&yacute;ch zdrojov, taktiež&nbsp;zv&yacute;&scaron;iť podiel využitia obnoviteľn&yacute;ch zdrojov energie. Zn&iacute;žen&iacute;m energetickej n&aacute;ročnosti budovy Spojenej &scaron;koly, dodržať&nbsp;hygienick&eacute;&nbsp;krit&eacute;ria&nbsp;a p</span><span style=""line-height:20.8px"">ostupn&yacute;mi stavebn&yacute;mi aktivitami navrhnut&yacute;mi v projektovej dokument&aacute;ci&iacute;</span><span style=""line-height:20.8px"">, nielen estetick&yacute;mi ale najm&auml; funkčn&yacute;mi&nbsp;</span><span style=""line-height:20.8px"">-&nbsp;</span><i style=""line-height:20.8px"">zateplenie obvodov&yacute;ch kon&scaron;trukci&iacute; a strechy, v&yacute;mena okenn&yacute;ch v&yacute;pln&iacute; a vyregulovanie&nbsp;vykurovacieho syst&eacute;mu</i><span style=""line-height:20.8px"">&nbsp;- zlep&scaron;iť teplotechnick&eacute; vlastnosti a u&scaron;etriť veľk&eacute; množstvo finančn&yacute;ch prostriedkov.&nbsp;</span><span style=""line-height:20.8px"">In&scaron;tal&aacute;ciou fotovoltiky&nbsp;a zariaden&iacute; na ohrev teplej vody zv&yacute;&scaron;iť &uacute;sporu finančn&yacute;ch prostriedkov dosiahnut&iacute;m vysok&eacute;ho stupňa samost</span><span style=""line-height:20.8px"">atnosti v oblasti z&iacute;skavania&nbsp;energie zo slnečn&eacute;ho žiarenia. Moderniz&aacute;ciou budovy Spojenej &scaron;koly,&nbsp;</span><span style=""line-height:20.8px"">tiež zv&yacute;&scaron;iť bezpečnosť mont&aacute;žou nov&eacute;ho bleskozvodu.&nbsp;V&scaron;etky&nbsp;aktivity bud&uacute; realizovan&eacute; na z&aacute;klade energetick&eacute;ho auditu z roku 2015 a v</span><span style=""line-height:20.8px"">&nbsp;s&uacute;lade s platnou legislat&iacute;vou a z&aacute;v&auml;zn&yacute;mi technick&yacute;mi normami.</span></div>""",450051.14,KŽP-PO4-SC431-2015-6/259,ukoncene,01/05/2017 00:00,01/11/2017 00:00,7,Spojená škola,Dopytovo-orientovaný projekt,{SK042A526355},"{Spišská Nová Ves""}""",verejné budovy,zníženie energetickej náročnosti,Územie OOCR
366,10. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na triedený zber komunálnych odpadov a mechanicko-biologickú úpravu komunálnych odpadov,Kohézny fond,456,,"Zberný dvor"" v obci Hrabušice""","<div><div>Obec Hrabu&scaron;ice sa nach&aacute;dza v&nbsp;okrese Spi&scaron;sk&aacute; Nov&aacute; Ves v&nbsp;Ko&scaron;ickom samospr&aacute;vnom kraji. Je situovan&aacute; &nbsp;v z&aacute;padnej časti Horn&aacute;dskej kotliny a na severn&yacute;ch svahoch&nbsp;<a href=https://sk.wikipedia.org/wiki/Slovensk%C3%BD_raj"" title=""Slovenský raj"">Slovensk&eacute;ho raja</a> v&nbsp;nadmorskej v&yacute;&scaron;ke 548 m. Severne od obce prech&aacute;dza diaľnica D1 i cesta Poprad - Pre&scaron;ov, zo z&aacute;padnej strany kataster obce lemuje cesta z&nbsp;Popradu do Brezna. Obec m&aacute; cca 2,5 tis. obyvateľov a&nbsp;rozlohu 4089 ha.</div><div>&Uacute;čelom predkladan&eacute;ho projektu je vybudovanie zbern&eacute;ho dvora na trieden&yacute; odpad pre &uacute;čely a&nbsp;potreby obce Hrabu&scaron;ice. Zbern&yacute; dvor by mal byť situovan&yacute; v&nbsp;are&aacute;li, ktor&yacute; bol v&nbsp;minulosti využ&iacute;van&yacute; na poľnohospod&aacute;rske &uacute;čely v&nbsp;južnej časti katastr&aacute;lneho &uacute;zemia obce. Z&aacute;merom žiadateľa je s&uacute;strediť odpadov&eacute; hospod&aacute;rstvo na tak&eacute; miesto v&nbsp;obci, kde by svoj&iacute;m charakterom neprek&aacute;žalo</div><div>Obec m&aacute; z&aacute;ujem o v&yacute;stavbu nov&eacute;ho zbern&eacute;ho dvora za &uacute;čelom zv&yacute;&scaron;enia kapacity trieden&eacute;ho zberu komun&aacute;lnych odpadov vznikaj&uacute;cich v jeho z&aacute;ujmovom &uacute;zem&iacute;. Prim&aacute;rne sa bude jednať o odpady, za ktor&yacute;ch zber a nakladanie s nimi je v s&uacute;lade so z&aacute;konom o odpadoch zodpovedn&aacute; obec a na ktor&eacute; sa nevzťahuje roz&scaron;&iacute;ren&aacute; zodpovednosť v&yacute;robcov podľa z&aacute;kona o&nbsp;odpadoch.</div><div>&nbsp;</div></div>""",359674.2,OPKZPPO1SC111-2016-10/102,ukoncene,01/03/2017 00:00,01/12/2018 00:00,22,Obec Hrabušice,Dopytovo-orientovaný projekt,{SK042A526592},{Hrabušice},rozvoj odpadového hospodárstva,triedený zber,Územie OOCR
401,Výzva zameraná na výstavbu a rekonštrukciu MŠ -OPLZ-PO6-SC612-2016-1a,Európsky fond regionálneho rozvoja,484,Rek. a prístavba MŠ Krompachy,Krompachy - rekonštrukcia a prístavba budovy MŠ na ul. SNP,"<div>Z&aacute;merom projektu <b>KROMPACHY - rekon&scaron;trukcia a pr&iacute;stavba budovy M&Scaron; na ul. SNP </b>je rekon&scaron;trukcia&nbsp;p&ocirc;vodnej budovy materskej &scaron;koly a pr&iacute;stavba&nbsp;samostatn&eacute;ho objektu s n&aacute;sledn&yacute;m roz&scaron;&iacute;ren&iacute;m&nbsp;kapacitn&yacute;ch&nbsp;možnost&iacute;&nbsp;materskej &scaron;koly.&nbsp;</div><div>Cieľom projektu je&nbsp;zv&yacute;&scaron;enie kvality vzdel&aacute;vacieho procesu prostredn&iacute;ctvom rekon&scaron;trukcie a&nbsp;moderniz&aacute;cie pred&scaron;kolsk&eacute;ho vzdel&aacute;vacieho zariadenia v&nbsp;zriaďovateľskej p&ocirc;sobnosti mesta Krompachy a z&aacute;roveň aj&nbsp;zn&iacute;ženie energetickej n&aacute;ročnosti p&ocirc;vodnej &scaron;kolskej&nbsp;budovy.</div><div><span style=line-height:20.8px"">Realiz&aacute;ciou projektu v&nbsp;budove materskej &scaron;koly sa zabezpeč&iacute; zateplenie jej obvodov&eacute;ho pl&aacute;&scaron;ťa v rozsahu cel&eacute;ho objektu M&Scaron;, zateplenie stropu, formou pr&iacute;stavby sa vybuduj&uacute; 4 nov&eacute; triedy - herne s kapacitou 64 det&iacute;, dobuduj&uacute; sa soci&aacute;lne zariadenia, &scaron;atne.</span></div><div><span style=""line-height:20.8px"">Matersk&aacute; &scaron;</span><span style=""line-height:20.8px"">kola zohr&aacute;va kľ&uacute;čov&uacute; &uacute;lohu pri predprim&aacute;rnom&nbsp;vzdel&aacute;van&iacute; det&iacute; z marginalizovan&yacute;ch r&oacute;mskych komun&iacute;t a soci&aacute;lne znev&yacute;hodnen&eacute;ho prostredia a jej udržateľnosť a rozvoj preto zohr&aacute;vaj&uacute; kľ&uacute;čov&uacute; &uacute;lohu pri celkovom rozvoji mesta.&nbsp;</span></div><div>Realiz&aacute;cia projektu podporuje rast konkurencieschopnosti regi&oacute;nu investovan&iacute;m do vzdel&aacute;vania det&iacute; a rozvoja ich zručnost&iacute;,&nbsp;podporuje soci&aacute;lnu solidaritu a inkl&uacute;ziu podporou&nbsp;inkluz&iacute;vneho vzdel&aacute;vania det&iacute; a rozvojom ich zručnost&iacute;. Projekt rovnako podporuje aj vyrovnan&yacute; region&aacute;lny&nbsp;rozvoj nakoľko invest&iacute;cia je smerovan&aacute; do regi&oacute;nu s vysokou mierou nezamestnanosti, ktor&yacute; zaost&aacute;va za ostatn&yacute;mi&nbsp;regi&oacute;nmi Slovenska.</div><div>Cieľe projektu s&uacute; v s&uacute;lade s glob&aacute;lnym a &scaron;pecifick&yacute;m cieľom OP ĽZ a rovnako re&scaron;pektuje princ&iacute;p desegreg&aacute;cie, destigmatiz&aacute;cie a degetoiz&aacute;cie.&nbsp;</div><div>&nbsp;</div><div>&nbsp;</div>""",531200,ZM_SEP-IMRK2-2017-000570,ukoncene,01/04/2018 00:00,01/05/2019 00:00,14,Mesto Krompachy,Dopytovo-orientovaný projekt,{SK042A543268},{Krompachy},školstvo,infraštruktúra materských škôlok,Nárazníková zóna OOCR
481,6. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na zníženie energetickej náročnosti verejných budov,Európsky fond regionálneho rozvoja,552,,"Zníženie energetickej náročnosti verejných budov – Námestie slobody 14, Krompachy","<div>Projekt Zn&iacute;ženie energetickej n&aacute;ročnosti verejn&yacute;ch budov rie&scaron;i zn&iacute;ženie spotreby energie v budove N&aacute;m. slobody č. 14, Krompachy formou zlep&scaron;ovania tepelno-technick&yacute;ch vlastnost&iacute; stavebn&yacute;ch materi&aacute;lov, moderniz&aacute;ciou syst&eacute;mov in&scaron;talovan&yacute;ch v budove za &uacute;čelom zn&iacute;ženia, monitorovania a riadenia spotreby energie. Projekt m&aacute; za cieľ zn&iacute;žiť energetick&uacute; n&aacute;ročnosť objektu, zn&iacute;žiť n&aacute;klady na vykurovanie a osvetlenie, zlep&scaron;iť kvalitu obalov&yacute;ch kon&scaron;trukci&iacute; a vn&uacute;tornej tepelnej pohody. V&yacute;sledky projektu bud&uacute; z&aacute;roveň prispievať k plneniu ročn&eacute;ho cieľa &uacute;spory energie podľa čl. 4 smernice 2012/27/E&Uacute; o energetickej efekt&iacute;vnosti.</div>",194266.29,KŽP-PO4_SC431_2015-6/060,ukoncene,01/07/2017 00:00,01/10/2018 00:00,16,Ministerstvo vnútra Slovenskej republiky,Dopytovo-orientovaný projekt,{SK042A543268},{Krompachy},verejné budovy,zníženie energetickej náročnosti,Nárazníková zóna OOCR
487,6. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na zníženie energetickej náročnosti verejných budov,Európsky fond regionálneho rozvoja,557,,"Zníženie energetickej náročnosti verejných budov – Slovenská 39, Gelnica","<div>Projekt Zn&iacute;ženie energetickej n&aacute;ročnosti verejn&yacute;ch budov rie&scaron;i zn&iacute;ženie spotreby energie v&nbsp;budove Slovensk&aacute; č. 39, Gelnica formou zlep&scaron;ovania tepelno-technick&yacute;ch vlastnost&iacute; stavebn&yacute;ch materi&aacute;lov, moderniz&aacute;ciou syst&eacute;mov in&scaron;talovan&yacute;ch v budove za &uacute;čelom zn&iacute;ženia, monitorovania a riadenia spotreby energie. Projekt m&aacute; za cieľ zn&iacute;žiť energetick&uacute; n&aacute;ročnosť objektu, zn&iacute;žiť n&aacute;klady na vykurovanie a osvetlenie, zlep&scaron;iť kvalitu obalov&yacute;ch kon&scaron;trukci&iacute; a vn&uacute;tornej tepelnej pohody. V&yacute;sledky projektu bud&uacute; z&aacute;roveň prispievať k plneniu ročn&eacute;ho cieľa &uacute;spory energie podľa čl. 4 smernice 2012/27/E&Uacute; o energetickej efekt&iacute;vnosti.</div>",193930.76,KŽP-PO4-SC431-2015-6/055,vrealizacii,01/07/2020 00:00,01/10/2021 00:00,16,Ministerstvo vnútra Slovenskej republiky,Dopytovo-orientovaný projekt,{SK0421526509},{Gelnica},verejné budovy,zníženie energetickej náročnosti,Územie OOCR
499,6. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na zníženie energetickej náročnosti verejných budov,Európsky fond regionálneho rozvoja,570,,"Zníženie energetickej náročnosti verejných budov –  Slovenská 11, Markušovce","<div>Projekt Zn&iacute;ženie energetickej n&aacute;ročnosti verejn&yacute;ch budov rie&scaron;i zn&iacute;ženie spotreby energie v budove Slovensk&aacute; č. 11, Marku&scaron;ovce formou zlep&scaron;ovania tepelno-technick&yacute;ch vlastnost&iacute; stavebn&yacute;ch materi&aacute;lov, moderniz&aacute;ciou syst&eacute;mov in&scaron;talovan&yacute;ch v budove za &uacute;čelom zn&iacute;ženia, monitorovania a riadenia spotreby energie. In&scaron;tal&aacute;cia zariadenia OZE m&aacute; prispieť k zlep&scaron;eniu energetickej hospod&aacute;rnosti budovy, a to s d&ocirc;razom na ochranu životn&eacute;ho prostredia. &nbsp;Projekt m&aacute; za cieľ zn&iacute;žiť energetick&uacute; n&aacute;ročnosť objektu, zn&iacute;žiť n&aacute;klady na vykurovanie a osvetlenie, zlep&scaron;iť kvalitu obalov&yacute;ch kon&scaron;trukci&iacute; a vn&uacute;tornej tepelnej pohody. V&yacute;sledky projektu bud&uacute; z&aacute;roveň prispievať k plneniu ročn&eacute;ho cieľa &uacute;spory energie podľa čl. 4 smernice 2012/27/E&Uacute; o energetickej efekt&iacute;vnosti.&nbsp;</div>",144923.5,KŽP-PO4-SC431-2015-6/053,vrealizacii,01/03/2019 00:00,01/08/2020 00:00,18,Ministerstvo vnútra Slovenskej republiky,Dopytovo-orientovaný projekt,{SK042A543331},{Markušovce},verejné budovy,zníženie energetickej náročnosti,Územie OOCR
709,6. VÝZVA NA PREDKLADANIE ŽIADOSTÍ O NENÁVRATNÝ FINANČNÝ PRÍSPEVOK zameraná na zníženie energetickej náročnosti verejných budov,Európsky fond regionálneho rozvoja,760,,Rekonštrukcia objektu Obecného úradu Letanovce,"<div>Predmetom predkladanej ŽoNFP je zn&iacute;ženie energetickej n&aacute;ročnosti &nbsp;budovy obecn&eacute;ho &uacute;radu&nbsp;v obci Letanovce prostredn&iacute;ctvom zateplenia obvodov&yacute;ch kon&scaron;trukci&iacute;, zateplenia stropn&yacute;ch kon&scaron;trukci&iacute;, rekon&scaron;trukcie strechy,v&yacute;meny v&yacute;pln&iacute; otvorov, v&yacute;meny elektroin&scaron;tal&aacute;cie,&uacute;stredn&eacute;ho k&uacute;renia&nbsp;ako aj ďal&scaron;ie stavebn&eacute;&nbsp;&uacute;pravy a dokončovacie pr&aacute;ce vo forme maľovania, n&aacute;terov&nbsp;atď., ktor&eacute; s&uacute; uveden&eacute; v projektovej dokument&aacute;cii.&nbsp;Cieľovou skupinou, pre ktor&uacute; bol projekt navrhnut&yacute; s&uacute; obyvatelia obce využ&iacute;vaj&uacute;ci priestory obecn&eacute;ho &uacute;radu, kde sa nach&aacute;dza<span style=line-height:1.6em"">&nbsp;sob&aacute;&scaron;na s&aacute;la, spoločensk&aacute; s&aacute;la, ktor&aacute; sl&uacute;ži na r&ocirc;zne spoločensk&eacute; a kult&uacute;rne udalosti ako aj obecn&aacute; knižnica.</span>&nbsp;D&ocirc;vodom prečo sa obec rozhodla pre &nbsp;rie&scaron;enie tohto projektu je snaha spr&aacute;vať sa environment&aacute;lne a ekonomicky. Budova bola skolaudovan&aacute; v roku 1956 a v s&uacute;časnosti nespĺňa predpoklady minim&aacute;lnej požiadavky na&nbsp;energetick&uacute; hospod&aacute;rnosť.&nbsp;Hlavn&yacute;m cieľom predkladan&eacute;ho projektu je zn&iacute;ženie energetickej n&aacute;ročnosti v budove obecn&eacute;ho &uacute;radu.&nbsp;Predkladan&yacute; projekt bude rie&scaron;iť merateľn&eacute; ukazovatele, ktor&eacute; boli veden&eacute; pod k&oacute;dom P0103, P0250, P0470, P0612, P0627,&nbsp;P0628, P0687, P0689, P0691,P0692&nbsp;a P0701. Z d&ocirc;vodu obmedzenej kapacity znakov v opise, nebolo možn&eacute; uviesť cel&eacute; n&aacute;zvy&nbsp;merateľn&yacute;ch ukazovateľov.</div><div>&nbsp;</div>""",448876.4,KŽP-PO4-SC431-2015-6/233,ukoncene,01/02/2018 00:00,01/03/2020 00:00,26,Obec Letanovce,Dopytovo-orientovaný projekt,{SK042A543284},{Letanovce},verejné budovy,zníženie energetickej náročnosti,Územie OOCR
750,Výzva zameraná na výstavbu a rekonštrukciu MŠ - OPLZ-PO6-SC612-2016-1b,Európsky fond regionálneho rozvoja,795,,Výstavba materskej školy v meste Dobšiná,"<div><div>Predmetom predkladan&eacute;ho projektu ŽoNFP je zv&yacute;&scaron;enie technickej vybavenosti pre marginalizovan&eacute; r&oacute;mske komunity v meste Dob&scaron;in&aacute; a to prostredn&iacute;ctvom zlep&scaron;enia pr&iacute;stupu ku kvalitn&eacute;mu vzdel&aacute;vaniu. K zv&yacute;&scaron;eniu technickej vybavenosti d&ocirc;jde&nbsp;prostredn&iacute;ctvom zlep&scaron;enia pr&iacute;stupu ku kvalitn&eacute;mu vzdel&aacute;vaniu prostren&iacute;ctvom poskytnutia kvalitn&eacute;ho vzdel&aacute;vania a starostlivosti v rannom detstve. Projekt rie&scaron;i v&yacute;stavbu budovy materskej &scaron;koly v meste Dob&scaron;in&aacute;.&nbsp;Objekt bude rie&scaron;en&yacute; ako dvojpodlažn&aacute; budova bez podpivničenia so sedlovou strechou. Do objektu bude zabezpečen&yacute; bezbarierov&yacute; vstup. Matersk&aacute; &scaron;kola je naprojektovan&aacute; na 5 tried po 16 det&iacute; č&iacute;m bude možn&eacute; umiestniť do tohto pred&scaron;kolsk&eacute;ho zariadenia 80 det&iacute;. Celkov&aacute; &uacute;žitkov&aacute; plocha budovy by mala byť podľa projektovej dokument&aacute;cie 749,7m2. Na 1NP sa bud&uacute; nach&aacute;dzať &scaron;atne, WC a sprcha pre zamestnancov, &scaron;atne, hygienick&eacute; z&aacute;zemie, herne, sp&aacute;lne, jed&aacute;lne, technick&aacute; miestnosť, sklad paliva, pr&aacute;čovňa, sklad pr&aacute;dla, v&yacute;dajňa jedla, sklad hračiek, WC muži, WC ženy a WC imobiln&iacute;. Na 2NP sa bude nach&aacute;dzať kabinet pre učiteľov, WC zamestnanci, riaditeľňa, &scaron;atne, hygienick&eacute; z&aacute;zemie, herne, sp&aacute;lne a sklady.&nbsp;</div></div>",494776.63,ZM_SEP-IMRK2-2017-000833,vrealizacii,01/10/2016 00:00,01/11/2019 00:00,38,Mesto Dobšiná,Dopytovo-orientovaný projekt,{SK0428525634},{Dobšiná},školstvo,infraštruktúra materských škôlok,Územie OOCR
